bdb_id	strongs	headword	type	entry
a.gb.aa	H0784	אֵשׁ	root	אֵשׁ 377 n.f. fire fire, of conflagration of supernatural fire fire for cooking, roasting, parching esp. of altar fire fig. of Yahweh's anger in various combinations
a.gb.ab	H0800	אֶשָּׁה		[אֶשָּׁה] n.f. id. [a.gb.aa] Je 6:29 Kt i.e. from their fire
a.gb.ac	H0801	אִשֶּׁה		אִשֶּׁה n.m. an offering made by fire
a.gb.ad	H0786	אִשׁ		אִשׁ softer form for the usual יֵשׁ (q.v.), there is, are.
a.gb.ae	H0788	אַשְׁבֵּל		אַשְׁבֵּל n.pr.m. 2nd son of Benjamin
a.gb.af	H0789	אַשְׁבֵּלִי		אַשְׁבֵּלִי adj.gent. הָא׳ as n.coll. Nu 26:38.
a.gb.ag	H0790	אֶשְׁבָּן		אֶשְׁבָּן n.pr.m. a chief of Edom
a.gb.ah	H0791	אַשְׁבֵּעַ		אַשְׁבֵּעַ v. שׁבע.
a.gb.ai	H0792	אֶשְׁבַּעַל		אֶשְׁבַּעַל v. אִישׁ־בֹ֫שֶׁת.
a.gc.aa		אשׁד	root	אשׁד (√ of following, cf. prob. As. išdu, foundation).
a.gc.ab	H0793	אֶ֫שֶׁד		אֶ֫שֶׁד n.[m.] foundation, bottom, lower part (slope) Nu 21:15.
a.gc.ac	H0794	אֲשֵׁדָה		[אֲשֵׁדָה] n.f. foundation, (mountain-)slope
a.gc.ad	H0795	אַשְׁדּוֹד		אַשְׁדּוֹד n.pr.loc. Ashdod
a.gc.ae	H0796	אַשְׁדּוֹדִי		אַשְׁדּוֹדִי adj.gent. Ashdodite
a.gc.af	H0797	אַשְׁדּוֹדִית		אַשְׁדּוֹדִית adv. in the language of Ashdod, i.e. of Philistines Ne 13:24
a.gd.aa		אשׁה	root	אשׁה (support, √ whence following).
a.gd.ab	H0803	אָשְׁיָה		[אָשְׁיָה] n.f. (support) buttress
a.gd.ac	H2977	יֹאשִׁיָּ֫הוּ		יֹאשִׁיָּ֫הוּ, יֹאשִׁיָּה n.pr.m. (י׳ supporteth) king of Judah, son of Amon a returned exile
a.gd.ad		אִשָּׁה		אִשָּׁה v. אנשׁ
a.gd.ae		אֱשׁוּן		אֱשׁוּן v. אִישׁוֹן sub. אישׁ
a.gd.af	H0804	אַשּׁוּר		אַשּׁוּר n.pr.gent. & terr. Asshur, Assyria
a.gd.ag	H0805	אַשּׁוּרִם		אַשּׁוּרִם n.pr.gent.pl. an Arab tribe traced back to Abraham & Keturah Gn 25:3 cf. Di.
a.gd.ah	H0805	אֲשׁוּרִי		אֲשׁוּרִי adj. gent.
a.gd.ai		אַשְׁחוּר		אַשְׁחוּר v. שׁחר
a.gd.aj	H0807	אֲשִׁימָא		אֲשִׁימָא n.pr.[m.] a god of Hamath 2 K 17:30, otherwise wholly unknown.
a.gd.ak	H0810	אֶ֫שֶׁךְ		[אֶ֫שֶׁךְ] n.[m.] testicle only Lv 21:20.
a.gd.al	H0811	אֶשְׁכּוֹל		אֶשְׁכּוֹל n.m. cluster cluster of grapes cluster of henna-flowers
a.gd.am	H0812	אֶשְׁכֹּל		אֶשְׁכֹּל n.pr. m. an Amorite, brother of Mamre, dwelling in neighborhood of Hebron in combination—valley of Eshcol = valley of a cluster, region of Hebron
a.gd.an	H0813	אַשְׁכְּנַז		אַשְׁכְּנַז n.pr.m. a descendant of Japhet a northern people
a.gd.ao		אֶשְׁכָּר		אֶשְׁכָּר v. שׁכר
a.ge.aa		אשׁל	root	אשׁל (be firm, firmly rooted, cf. Ar. Arabic be firm).
a.ge.ab	H0815	אֵ֫שֶׁל		אֵ֫שֶׁל n.m. tamarisk-tree
a.gf.aa	H0816	אָשַׁם	root	אָשַׁם, אָשֵׁם vb. offend, be guilty commit an offence, a trespass, do a wrong, or an injury be or become guilty be held guilty, bear punishment Niph. suffer punishment Hiph. declare them guilty
a.gf.ab	H0818	אָשֵׁם		אָשֵׁם adj. guilty
a.gf.ac	H0817	אָשָׁם		אָשָׁם n.m. offence, guilt offence, trespass, fault guilt compensation (or satisfaction for injury) trespass-offering
a.gf.ad	H0819	אַשְׁמָה		אַשְׁמָה n.f. wrong-doing, guiltiness doing wrong, committing a trespass of offence becoming guilty bringing a trespass-offering
a.gf.ae		אַשְׁמוּרָה		אַשְׁמוּרָה ־מֻרוֹת ־מֹרָה v. שׁמר
a.gf.af		אַשְׁמַנִּימ		אַשְׁמַנִּימ v. שׁמן
a.gg.aa		אשׁן	root	אשׁן (√ assumed for foll.; perh. be hard, firm, cf. Aram. אֲשִׁינָא ,אֲשׁוּנָא, something firm).
a.gg.ab	H0823	אַשְׁנָה		אַשְׁנָה n.pr.loc. (the firm?) name of two cities in Judah. Jos 15:33. v 43.
a.gg.ac		אֶשְׁנָב		אֶשְׁנָב v. שׁנב
a.gg.ad		אֶשְׁעָן		אֶשְׁעָן v. שׁען
a.gh.aa	H0825	אַשָּׁף	root	[אַשָּׁף] n.m. conjurer, necromancer only pl. Dn 1:20
a.gi.aa		אשׁף	root	אשׁף (√ of dub. meaning, whence foll.)
a.gi.ab	H0827	אַשְׁפָּה		אַשְׁפָּה n.f. quiver for arrows
a.gi.ac	H0828	אַשְׁפְּנַז		אַשְׁפְּנַז n.pr.m. the chief of eunuchs, of Nebuchadrezzar Dn 1:3 (meaning unknown).
a.gi.ad	H0829	אֶשְׁפָּר		אֶשְׁפָּר cake or roll
a.gi.ae		אַשְׁפֹּת		אַשְׁפֹּת אַשְׁפַּתּוֹת v. שׁפת
a.gi.af	H0831	אַשְׁקְלוֹן		אַשְׁקְלוֹן n.pr.loc. a city of the Philistines
a.gi.ag	H0832	אֶשְׁקְלוֹנִי		אֶשְׁקְלוֹנִי adj.gent. c. art. as subst. Jos 13:3
a.gj.aa	H0833	אָשַׁר	root	[אָשַׁר] vb. go straight, go on, advance Qal go straight on in the way of understanding Pi. intensive go straight on, advance causative lead on set right, righten pronounce happy, call blessed Pu. be led on be made happy, blessed
a.gj.ab	H0835	אֶ֫שֶׁר		[אֶ֫שֶׁר, or אָשָׁר] n.[m.] happiness, blessedness
a.gj.ac	H0837	אֹ֫שֶׁר		[אֹ֫שֶׁר] n.[m.] happiness, Gn 30:13 (J).
a.gj.ad	H0838	אֲשׁוּר		[אֲשׁוּר, אָשׁוּר] n.f. step, going
a.gj.ae	H0838	אַשֻּׁר		[אַשֻּׁר] n.f. step, going
a.gj.af	H0836	אָשֵׁר		אָשֵׁר n.pr.m. Asher (happy one, Felix) son of Jacob and Zilpah the tribe n.pr.loc. city E. of Shechem
a.gj.ag	H0843	אָשֵׁרִי		אָשֵׁרִי adj.gent. c. art. הָא׳ as n.coll. Ju 1:32.
a.gj.ah	H0839	אֲשֻׁרִים		אֲשֻׁרִים, in Ez 27:6
a.gj.ai	H8391	תְּאַשּׁוּר		תְּאַשּׁוּר n.f. box-tree
a.gj.aj	H0842	אֲשֵׁרָה		אֲשֵׁרָה, אֲשֵׁירָה n.pr.f. Ashera
a.gk.aa	H0834	אֲשֶׁר	root	אֲשֶׁר part. of relation A sign of relation, bringing the clause introduced by it into relation with an antecedent clause.
a.gk.ab	H0834	בַאֲשֶׁר		בַאֲשֶׁר in (that) which adv. in (the place) where conj. in that, inasmuch as on account of whom?
a.gk.ac		כַּאָשֶׁר		כַּאָשֶׁר v. כְּ
a.gk.ad	H0834	מֵאֲשֶׁר		מֵאֲשֶׁר from (or than) that which adv. from (the place) where conj. from (the fact) that …, since
a.gl.aa	H0377	אשׁשׁ	root	[אשׁשׁ] Hithpo. Is 46:8
a.gl.ab	H0808	אֲשִׁישָׁה		אֲשִׁישָׁה n.f. (pressed) raisin-cake; Is 16:7
a.gl.ac		אֵ֫שֶׁת		אֵ֫שֶׁת v. אִשָּׁה sub. אנשׁ
a.gl.ad	H0847	אֶשְׁתָּאוֹל		אֶשְׁתָּאוֹל, אֶשְׁתָּאֹל n.pr.loc. city of Danites
a.gl.ae	H0848	אֶשְׁתָּאֻלִי		אֶשְׁתָּאֻלִי adj.gent. c. art. הָא׳ as n.coll. 1 Ch 2:53.
a.gl.af	H0850	אֶשְׁתּוֹן		אֶשְׁתּוֹן n.pr.m. a man of Judah
a.gl.ag	H0851	אֶשְׁתְּמוֹעַ		אֶשְׁתְּמוֹעַ, אֶשְׁתְּמֹעַ, אֶשְׁתְּמֹה n.pr.loc. Levitical city in mountain-country of Judah, south of Hebron
a.gm.aa	H0853	אֵת	root	אֵת the mark of the accusative, prefixed as a rule only to nouns that are definite
a.gn.aa	H0854	אֵת	root	אֵת, prep. with—prep. denoting proximity Of companionship, together with Of localities אֵת פּ׳ denotes specially in one's possession or keeping in one's knowledge or memory מֵאֵת from proximity with Note. אֵת expresses closer association than עִם: hence while מֵעִם sts. denotes hardly more than from the surroundings or belongings of, מֵאֵת expresses from close proximity to.
a.gn.ab	H0856	אֶתְבַּ֫עַל		אֶתְבַּ֫עַל n.pr.m. Ethbaal king of Sidon, father of Jezebel 1 K 16:31.
a.gn.ac	H0863	אִתַּי		אִתַּי n.pr.m. one of David’s captains, a native of Gath one of David’s 30 mighty men, a Benjamite
a.gn.ad	H0384	אִיתִיאֵל		אִיתִיאֵל in MT n.pr.m. usually take as name of a son or pupil of Agur a Benjamite
a.gn.ae		אֵת		אֵת v. אתת
a.gn.af		אַתָּה		אַתָּה אַתְּ אַתְּי v. אנת
a.go.aa	H0857	אָתָה	root	אָתָה vb. come (in Heb. only poet.) Qal come Hiph. bring
a.go.ab	H2978	אִיתוֹן		אִיתוֹן Qr, יאתון Kt, n.m. entrance, Ez 40:15
a.go.ac		אִתַּי		אִתַּי אִתַי אִיתִיאֵל v. אֵת
a.go.ad	H0864	אֵתָם		אֵתָם n.pr.loc. (perh. = Egypt. Chetem) in Egypt, place on edge of desert
a.go.ae		אַתֶּם		אַתֶּם v. אנת
a.go.af		אֶתְמוֹל		אֶתְמוֹל v. תמל
a.gp.aa		אתן	root	אתן (mng. ? Thes comps. Ar. Arabic take short steps, but this appy. only by-form of Arabic).
a.gp.ab	H0860	אָתוֹן		אָתוֹן n.f. she-ass
a.gp.ac		אַתֵּן		אַתֵּן אַתֵּנָה v. אנת
a.gp.ad		אֶתְנָה		אֶתְנָה v. תנה
a.gp.ae	H0867	אֶתְנִי		אֶתְנִי n.pr.m. an ancestor of Asaph 1 Ch 6:26
a.gp.af		אֶתְנַן		אֶתְנַן v. תנן
a.gp.ag	H0862	אתוק		[אתוק] n.m. gallery, porch Ez 41:15
a.gp.ah	H0862	אַתִּיק		אַתִּיק n.m. id. [a.gp.ag]
a.gp.ai	H0871	אֲתָרִים		אֲתָרִים n.pr.loc. only Nu 21:1
a.gq.aa		אתת	root	אתת (? √ of following, meaning dubious. Lag M ii. 254 proposes √ אנה, whence he derives also Ar. Arabic a tool used in tillage).
a.gq.ab	H0855	אֵת		[אֵת] n.[m.] a cutting instrument of iron, usually transl. ploughshare
b.aa.aa		ב	root	ב, בּ Bêth, 2nd letter; postBHeb. = numeral 2 (and so in margin of printed MT); ב̈ = 2000; no evidence of this usage in OT times.
